title,abstract,pub_year,NMF_Topic,processed_text,label_topik
Pemanfaatan Kecerdasan Buatan dalam Analisis Return dan Risiko pada Saham LQ45,Purpose – Paper ini bertujuan untuk mengevaluasi penggunaan kecerdasan buatan (AI) dalam menganalisis return dan risiko saham LQ45 di Bursa Efek Indonesia (BEI). Tujuannya adalah membandingkan … Expand,2024,2,pemanfaatan analisis return risiko saham lq45 purpose – paper bertujuan mengevaluasi penggunaan menganalisis return risiko saham lq45 bursa efek indonesia bei tujuannya membandingkan,Inovasi dan Transformasi Digital dalam Ekonomi dan Bisnis
Simulasi Perilaku Kecerdasan Buatan dengan Peran Support Enchanter Menggunakan Metode Fuzzy Sugeno,"Permainan Multiplayer Online Battle Arena (MOBA) yang semakin populer, dan peran support enchanter yang menjadi kunci dalam memenangkan pertandingan. Support enchanter berperan memberikan buff, … Expand",2024,1,simulasi perilaku peran support enchanter menggunakan metode fuzzy sugeno permainan multiplayer online battle arena moba semakin populer peran support enchanter menjadi kunci memenangkan pertandingan support enchanter berperan memberikan buff,Riset dan Inovasi dalam Kecerdasan Buatan untuk Klasifikasi dan Prediksi
Ketika Kecerdasan Buatan Menjadi Alat Kecurangan Tingkat Lanjut: Tantangan dan Peran Kepribadian Mahasiswa,"This study aims to explore the influence of personality traits, specifically Agreeableness, Conscientiousness, and Emotionality, on students' tendencies toward cheating behavior, analyzed using … Expand",2024,4,menjadi alat kecurangan tingkat lanjut tantangan peran kepribadian mahasiswa study aims explore influence personality traits specifically agreeableness conscientiousness emotionality students tendencies toward cheating behavior analyzed using,Pengaruh dan Pemanfaatan ChatGPT dalam Pendidikan Tinggi
ANALISIS KECERDASAN BUATAN CHATGPT DALAM PENYELESAIAN SOAL FISIKA BERGAMBAR PADA MATERI RESISTOR,"Penggunaan teknologi merupakan hal yang tidak dapat dihindarkan saat ini, termasuk juga dalam bidang Pendidikan. Salah satu teknologi yang banyak digunakan siswa saat ini adalah kecerdasan buatan … Expand",2023,4,analisis chatgpt penyelesaian soal fisika bergambar materi resistor penggunaan teknologi merupakan dapat dihindarkan ini termasuk dalam bidang pendidikan salah satu teknologi yang banyak digunakan siswa ini,Pengaruh dan Pemanfaatan ChatGPT dalam Pendidikan Tinggi
"Pemanfaatan Kecerdasan Buatan (Ai) Dalam Meningkatkan Efesiensi Dan Pengembangan Usaha Mikro,Kecil Dan Menengah (Umkm)","Usaha Mikro, Kecil, dan Menengah (UMKM) play a crucial role in the global economy, but they often face challenges in terms of productivity and competitiveness, especially in today's digital era that … Expand",2023,2,pemanfaatan meningkatkan efesiensi pengembangan usaha mikrokecil menengah umkm usaha mikro kecil menengah umkm play crucial role global economy often face challenges terms productivity competitiveness especially todays digital era,Inovasi dan Transformasi Digital dalam Ekonomi dan Bisnis
SEJATI: Aplikasi Self-care berbasis Kecerdasan Buatan sebagai Upaya Menurunkan Risiko Depresi bagi Remaja,Penelitian ini bertujuan untuk mengukur efektivitas penggunaan prototipe aplikasi SEJATI sebagai,2022,9,sejati aplikasi selfcare berbasis upaya menurunkan risiko depresi remaja penelitian bertujuan mengukur efektivitas penggunaan prototipe aplikasi sejati,Pengembangan Chatbot Berbasis Natural Language Processing untuk Layanan Informasi
Chatgpt vs Akuntan Tantangan dan Peluang Kecerdasan Buatan Dalam Akuntansi,"Perkembangan teknologi kecerdasan buatan (AI), khususnya ChatGPT, telah membawa dampak signifikan di berbagai bidang, termasuk akuntansi. Penelitian ini bertujuan untuk membandingkan kemampuan … Expand",2025,4,chatgpt vs akuntan tantangan peluang akuntansi perkembangan teknologi khususnya chatgpt membawa dampak signifikan berbagai bidang termasuk akuntansi penelitian bertujuan membandingkan kemampuan,Pengaruh dan Pemanfaatan ChatGPT dalam Pendidikan Tinggi
Implementasi Etika Penggunaan Kecerdasan Buatan (AI) dalam Sistem Pendidikan dan Analisis Pembelajaran di Indonesia,"Penggunaan Kecerdasan Buatan (Artificial Intelligence/AI) dalam pendidikan merupakan bidang yang kompleks dan terus berkembang pesat. Perkembangan ini membawa potensi besar untuk mentransformasi proses belajar-mengajar, namun juga menimbulkan berbagai tantangan etis dan praktis yang perlu diatasi. Implementasi AI dalam pendidikan membutuhkan pertimbangan yang cermat dan menyeluruh terhadap berbagai aspek kritis, termasuk privasi data peserta didik, keadilan dan inklusivitas dalam akses serta penggunaan teknologi, transparansi algoritma dan pengambilan keputusan, tingkat dan bentuk kontrol manusia yang tepat, aksesibilitas bagi semua kelompok peserta didik termasuk mereka dengan kebutuhan khusus, serta potensi dampak jangka panjang terhadap perkembangan kognitif, sosial, dan emosional peserta didik. Mengingat kompleksitas isu-isu tersebut, pendekatan etis terhadap integrasi AI dalam pendidikan harus melibatkan dialog berkelanjutan dan kolaborasi erat antara berbagai pemangku kepentingan. Hal ini mencakup pendidik di berbagai tingkatan, pengembang teknologi AI, pembuat kebijakan pendidikan, siswa sebagai pengguna utama, serta masyarakat luas yang memiliki kepentingan dalam sistem pendidikan. Tujuan utama dari dialog dan kolaborasi ini adalah untuk memastikan bahwa teknologi AI diimplementasikan dan digunakan dengan cara yang tidak hanya bermanfaat dari segi edukasi, tetapi juga adil, etis, dan menghormati hak-hak serta kepentingan semua pihak yang terlibat. Penelitian ini mengadopsi pendekatan kualitatif untuk mengeksplorasi secara mendalam berbagai aspek penggunaan AI dalam pendidikan. Tujuan utama dari penelitian ini adalah untuk mengidentifikasi dan menganalisis manfaat potensial dari integrasi kecerdasan buatan dalam bidang pendidikan. Collapse",2024,0,implementasi etika penggunaan sistem pendidikan analisis pembelajaran indonesia penggunaan artificial intelligenceai pendidikan merupakan bidang kompleks terus berkembang pesat perkembangan membawa potensi besar mentransformasi proses belajarmengajar juga menimbulkan berbagai tantangan etis praktis perlu diatasi implementasi pendidikan membutuhkan pertimbangan cermat menyeluruh berbagai aspek kritis termasuk privasi data peserta didik keadilan inklusivitas akses penggunaan teknologi transparansi algoritma pengambilan keputusan tingkat bentuk kontrol manusia tepat aksesibilitas semua kelompok peserta didik termasuk kebutuhan khusus potensi dampak jangka panjang perkembangan kognitif sosial emosional peserta didik mengingat kompleksitas isuisu tersebut pendekatan etis integrasi pendidikan melibatkan dialog berkelanjutan kolaborasi erat berbagai pemangku kepentingan mencakup pendidik berbagai tingkatan pengembang teknologi pembuat kebijakan pendidikan siswa pengguna utama masyarakat luas memiliki kepentingan sistem pendidikan tujuan utama dialog kolaborasi adalah memastikan teknologi diimplementasikan digunakan dengan cara tidak bermanfaat segi edukasi juga adil etis menghormati hakhak kepentingan semua pihak terlibat penelitian mengadopsi pendekatan kualitatif mengeksplorasi mendalam berbagai aspek penggunaan pendidikan tujuan utama penelitian ini adalah mengidentifikasi menganalisis manfaat potensial integrasi bidang pendidikan,Integrasi AI dalam Pendidikan Agama Islam
Analisis Pengaruh Pembelajaran Adaptif Berbasis Kecerdasan Buatan terhadap Pencapaian Akademik Siswa Sekolah Menengah Atas di Era Digital,"Penelitian ini menyelidiki dampak dari pembelajaran adaptif berbasis Kecerdasan Buatan (AI) terhadap prestasi akademik siswa sekolah menengah di era digital. Sampel sebanyak 110 siswa disurvei, mengeksplorasi frekuensi penggunaan perangkat pembelajaran adaptif berbasis AI dan korelasinya dengan prestasi akademik yang dilaporkan sendiri. Statistik deskriptif menunjukkan profil demografis yang beragam, sementara analisis korelasi dan regresi menemukan hubungan positif yang kuat antara frekuensi penggunaan alat pembelajaran dengan prestasi akademik. Analisis subkelompok lebih lanjut menyoroti variasi berdasarkan jenis kelamin, status sosial-ekonomi, dan kemampuan akademik. Temuan ini menunjukkan bahwa peningkatan penggunaan alat bantu secara positif mempengaruhi hasil akademik, dengan implikasi untuk kebijakan dan praktik pendidikan. Penelitian ini memberikan kontribusi wawasan yang berharga untuk lanskap AI yang berkembang dalam pendidikan sekolah menengah. Collapse",2024,8,analisis pengaruh pembelajaran adaptif berbasis pencapaian akademik siswa sekolah menengah atas era digital penelitian menyelidiki dampak pembelajaran adaptif berbasis prestasi akademik siswa sekolah menengah era digital sampel sebanyak 110 siswa disurvei mengeksplorasi frekuensi penggunaan perangkat pembelajaran adaptif berbasis korelasinya prestasi akademik dilaporkan sendiri statistik deskriptif menunjukkan profil demografis beragam analisis korelasi regresi menemukan hubungan positif kuat frekuensi penggunaan alat pembelajaran prestasi akademik analisis subkelompok lebih lanjut menyoroti variasi berdasarkan jenis kelamin status sosialekonomi kemampuan akademik temuan menunjukkan peningkatan penggunaan alat bantu positif mempengaruhi hasil akademik implikasi kebijakan praktik pendidikan penelitian memberikan kontribusi wawasan berharga lanskap berkembang pendidikan sekolah menengah,Pengembangan Media Pembelajaran Berbasis Kecerdasan Buatan di Sekolah
PENGARUH KECERDASAN BUATAN DALAM PROSES AUDIT KEUANGAN: TANTANGAN DAN PELUANG DI ERA DIGITAL,"Kemajuan Kecerdasan Buatan (AI) secara signifikan memengaruhi lanskap audit keuangan dalam era digital. Penelitian ini mengeksplorasi tantangan dan peluang yang muncul dari integrasi AI dalam proses audit keuangan. Isu-isu utama yang dibahas meliputi adaptasi metodologi audit tradisional ke AI, keandalan analisis yang dipandu AI, dan implikasi etika otomasi dalam pengambilan keputusan. Penelitian bertujuan untuk memahami bagaimana AI memengaruhi efisiensi dan akurasi audit. Dengan pendekatan metode campuran, menggabungkan analisis data kuantitatif dan studi kasus kualitatif, penelitian menyelidiki pengalaman auditor dan organisasi dalam mengimplementasikan alat AI. Temuan menyoroti peran berubah auditor dalam memanfaatkan AI, menekankan perlunya pengembangan profesional berkelanjutan. Penelitian ini memberikan wawasan berharga dalam diskursus yang sedang berlangsung tentang efek transformatif AI dalam audit keuangan. Collapse",2024,10,pengaruh proses audit keuangan tantangan peluang era digital kemajuan signifikan memengaruhi lanskap audit keuangan era digital penelitian mengeksplorasi tantangan peluang muncul integrasi proses audit keuangan isuisu utama dibahas meliputi adaptasi metodologi audit tradisional keandalan analisis dipandu implikasi etika otomasi pengambilan keputusan penelitian bertujuan memahami bagaimana memengaruhi efisiensi akurasi audit pendekatan metode campuran menggabungkan analisis data kuantitatif studi kasus kualitatif penelitian menyelidiki pengalaman auditor organisasi mengimplementasikan alat temuan menyoroti peran berubah auditor memanfaatkan menekankan perlunya pengembangan profesional berkelanjutan penelitian memberikan wawasan berharga diskursus sedang berlangsung efek transformatif audit keuangan,Dampak Pandemi COVID-19 terhadap Kualitas Audit dan Penggunaan Teknologi di Perusahaan
