topic_id,keyword,topic_label,topic_desc
0,"['machine learning', 'neural network', 'artificial intelligence', 'algoritma', 'sistem cerdas', 'klasifikasi', 'learning', 'optimization', 'intelligence', 'optimisasi']",Penerapan Machine Learning dan Neural Network dalam Sistem Cerdas,"Topik ini berfokus pada penggunaan machine learning dan neural network untuk mengembangkan sistem cerdas yang dapat melakukan klasifikasi dan optimisasi. Penelitian dalam topik ini mencakup pengembangan algoritma berbasis deep learning untuk pengklasifikasian objek, seperti bibit kelapa, serta penerapan teknologi IoT dan machine learning untuk deteksi dini penyakit. Selain itu, topik ini juga mencakup pemodelan sistem otentikasi berbasis suara, menunjukkan beragam aplikasi artificial intelligence dalam berbagai bidang."
1,"['tourism', 'desa wisata', 'wisatawan', 'wisata', 'kota', 'kearifan lokal', 'berbasis kearifan lokal', 'desa', 'community', 'destinasi']",Pengembangan Desa Wisata Berbasis Kearifan Lokal,"Topik ini mencakup penelitian dan pengabdian masyarakat terkait pengembangan desa wisata dengan pendekatan berbasis kearifan lokal. Fokus utama adalah optimalisasi potensi desa melalui usaha kecil dan menengah (UMKM), penerapan teknologi cerdas untuk manajemen pariwisata, dan perencanaan pariwisata berkelanjutan yang mengintegrasikan ekonomi kreatif. Studi kasus dalam topik ini melibatkan desa-desa wisata yang berupaya meningkatkan daya tarik wisatawan sambil mempertahankan nilai-nilai budaya lokal."
2,"['bakteri', 'senyawa bioaktif', 'infeksi', 'bioaktif', 'bioaktivitas', 'enzim', 'antioksidan', 'tumbuhan', 'fermentasi', 'endofit']",Pemanfaatan Bakteri Endofit dalam Pengembangan Senyawa Bioaktif untuk Pengendalian Penyakit dan Antioksidan,"Topik ini berfokus pada penelitian mengenai peran bakteri endofit dalam produksi senyawa bioaktif yang dapat digunakan untuk pengendalian infeksi dan penyakit pada tumbuhan. Penelitian ini mencakup analisis senyawa bioaktif, bioaktivitas, dan enzim yang ditemukan pada bakteri endofit dari berbagai tumbuhan, serta potensi penggunaannya sebagai antioksidan dan agen penginduksi ketahanan tanaman melalui proses fermentasi dan identifikasi molekuler."
3,"['perikanan', 'ikan', 'ekosistem', 'wilayah pesisir', 'rumput laut', 'tuna', 'biodiversitas', 'konservasi', 'perairan', 'endemik']",Pengelolaan dan Konservasi Sumber Daya Perikanan di Wilayah Pesisir,"Topik ini mencakup penelitian dan pengabdian masyarakat terkait pengelolaan perikanan dan konservasi ekosistem di wilayah pesisir. Fokus utamanya adalah pada modernisasi perikanan tangkap tradisional, keberlanjutan sumber daya ikan, dan domestikasi spesies ikan endemik. Studi-studi ini juga mengeksplorasi biodiversitas, konservasi ekosistem perairan, dan pengembangan budidaya ikan hias, dengan perhatian khusus pada spesies seperti tuna dan rumput laut yang penting bagi ekosistem dan ekonomi lokal."
4,"['masyarakat adat', 'masyarakat suku', 'budaya lokal', 'kebudayaan', 'budaya', 'tradisional', 'lokal masyarakat', 'tradisi', 'suku dayak', 'etnis']",Pelestarian dan Studi Budaya Masyarakat Adat,"Topik ini mencakup penelitian dan pengabdian masyarakat yang berfokus pada studi budaya, hukum, dan bahasa dari masyarakat adat dan suku, seperti suku Moronene, Kasepuhan, dan Sasak. Penekanan diberikan pada pelestarian kearifan lokal, tradisi lisan, serta peran bahasa dalam mempertahankan warisan budaya dan kepercayaan agama."
5,"['digital marketing', 'pemasaran digital', 'marketing', 'ekonomi digital', 'pemasaran', 'konsumen', 'berbasis digital', 'promosi', 'teknologi digital', 'transformasi digital']",Transformasi Digital dalam Pemasaran UMKM,"Topik ini berfokus pada penerapan strategi pemasaran digital untuk meningkatkan visibilitas dan keberlanjutan usaha mikro, kecil, dan menengah (UMKM). Dengan memanfaatkan teknologi digital dan media sosial, UMKM dapat mempercepat transformasi pemasaran mereka, meningkatkan interaksi dengan konsumen, dan mengoptimalkan promosi berbasis digital. Penelitian dalam topik ini juga mengeksplorasi penggunaan neuromarketing dan persona digital untuk lebih memahami perilaku konsumen dan meningkatkan efektivitas strategi pemasaran."
6,"['ketahanan pangan', 'mitigasi perubahan iklim', 'pangan lokal', 'perubahan iklim', 'pangan', 'makanan', 'food', 'pertanian', 'berkelanjutan', 'iklim']",Ketahanan Pangan dan Mitigasi Perubahan Iklim,"Topik ini berfokus pada upaya untuk meningkatkan ketahanan pangan melalui strategi berkelanjutan yang mempertimbangkan mitigasi dan adaptasi terhadap perubahan iklim. Ini melibatkan transformasi sistem pangan lokal, analisis ketersediaan dan keterjangkauan pangan, serta resiliensi rumah tangga petani dalam menghadapi variabilitas iklim. Inisiatif ini mengedepankan pendekatan berbasis komunitas dan sosial untuk mewujudkan ketahanan pangan yang berkelanjutan dan tangguh terhadap perubahan iklim."
7,"['pembangkit listrik tenaga', 'energi terbarukan', 'pembangkit listrik', 'listrik tenaga', 'terbarukan', 'listrik', 'kendaraan listrik', 'energi baru', 'tenaga', 'energy']",Pengembangan dan Optimalisasi Pembangkit Listrik Berbasis Energi Terbarukan,"Topik ini mencakup penelitian dan pengabdian masyarakat yang berfokus pada pengembangan, optimalisasi, dan integrasi pembangkit listrik berbasis energi terbarukan seperti tenaga angin, tenaga surya, dan cofiring lignoselulosa. Ini termasuk pemanfaatan teknologi canggih seperti IoT untuk manajemen energi dan pengembangan infrastruktur pendukung seperti stasiun pengisian kendaraan listrik."
8,"['berbasis augmented reality', 'augmented reality', 'virtual reality', 'berbasis augmented', 'pengembangan media pembelajaran', 'pembelajaran berbasis', 'media pembelajaran', 'virtual', 'digital berbasis', 'model pembelajaran']",Pengembangan Media Pembelajaran Berbasis Augmented Reality,"Topik ini mencakup penelitian dan pengabdian masyarakat yang berfokus pada pengembangan media pembelajaran inovatif menggunakan teknologi augmented reality dan virtual reality. Tujuannya adalah untuk meningkatkan keterampilan, literasi digital, dan pemahaman siswa dan mahasiswa dalam berbagai bidang, termasuk pembelajaran vokasional dan materi geometri dengan pendekatan etnomatematika."
9,"['pembelajaran berdiferensiasi', 'model pembelajaran', 'pengembangan model pembelajaran', 'desain pembelajaran', 'problem based learning', 'mathematics', 'based learning', 'pembelajaran', 'classroom', 'kurikulum merdeka']",Inovasi Pembelajaran Matematika Berbasis Budaya dan Teknologi,"Topik ini mencakup pengembangan dan desain model pembelajaran matematika yang berdiferensiasi dengan pendekatan berbasis masalah, budaya, dan teknologi. Fokus utama adalah pada peningkatan kemampuan pemecahan masalah, numerasi, dan berpikir kritis siswa melalui integrasi kurikulum merdeka dan metode pembelajaran inovatif seperti etnosteam dan TPACK dalam konteks pembelajaran kelas."
