topic_0_ai_ethical_governance_ethics,topic_10_embodied_robot_reinforcement_reinforcement learning,topic_11_spiking_neuromorphic_spiking neural_neural,topic_12_game_games_players_player,topic_13_llms_language_language models_large language,topic_14_software_code_software engineering_engineering,topic_15_quantum_quantum computing_classical_computing,topic_16_deep_neural_learning_deep learning,topic_17_emotion_emotional_emotions_emotion recognition,topic_18_fairness_fair_bias_ai fairness,topic_19_federated_federated learning_fl_privacy,topic_1_xai_explanations_explainable_explanation,topic_20_agricultural_agriculture_crop_species,topic_21_medical_clinical_llms_language,topic_22_generation_3d_video_diffusion,topic_23_healthcare_clinical_medical_care,topic_24_intelligence_agi_general_artificial,topic_25_environmental_sustainable_carbon_energy,topic_26_adversarial_attacks_attack_adversarial attacks,topic_2_cancer_images_imaging_covid19,topic_3_education_students_educational_genai,topic_4_molecular_materials_drug_discovery,topic_5_traffic_driving_autonomous_vehicles,topic_6_creative_creativity_art_generative,topic_7_wireless_6g_network_networks,topic_8_multimodal_visual_mllms_reasoning,topic_9_hardware_accelerators_memory_gpu,date
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2014-01-01
0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-02-01
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2014-03-01
1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2014-04-01
0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-05-01
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-06-01
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2014-07-01
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-08-01
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,2014-09-01
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2014-10-01
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-11-01
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-12-01
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-02-01
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2015-03-01
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2015-04-01
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-05-01
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,2015-06-01
