title,abstract,pubdate
Pemanfaatan Kecerdasan Buatan dalam Analisis Return dan Risiko pada Saham LQ45,Purpose – Paper ini bertujuan untuk mengevaluasi penggunaan kecerdasan buatan (AI) dalam menganalisis return dan risiko saham LQ45 di Bursa Efek Indonesia (BEI). Tujuannya adalah membandingkan … Expand,31 October 2024
Simulasi Perilaku Kecerdasan Buatan dengan Peran Support Enchanter Menggunakan Metode Fuzzy Sugeno,"Permainan Multiplayer Online Battle Arena (MOBA) yang semakin populer, dan peran support enchanter yang menjadi kunci dalam memenangkan pertandingan. Support enchanter berperan memberikan buff, … Expand",15 July 2024
Ketika Kecerdasan Buatan Menjadi Alat Kecurangan Tingkat Lanjut: Tantangan dan Peran Kepribadian Mahasiswa,"This study aims to explore the influence of personality traits, specifically Agreeableness, Conscientiousness, and Emotionality, on students' tendencies toward cheating behavior, analyzed using … Expand",31 October 2024
ANALISIS KECERDASAN BUATAN CHATGPT DALAM PENYELESAIAN SOAL FISIKA BERGAMBAR PADA MATERI RESISTOR,"Penggunaan teknologi merupakan hal yang tidak dapat dihindarkan saat ini, termasuk juga dalam bidang Pendidikan. Salah satu teknologi yang banyak digunakan siswa saat ini adalah kecerdasan buatan … Expand",31 July 2023
"Pemanfaatan Kecerdasan Buatan (Ai) Dalam Meningkatkan Efesiensi Dan Pengembangan Usaha Mikro,Kecil Dan Menengah (Umkm)","Usaha Mikro, Kecil, dan Menengah (UMKM) play a crucial role in the global economy, but they often face challenges in terms of productivity and competitiveness, especially in today's digital era that … Expand",22 December 2023
SEJATI: Aplikasi Self-care berbasis Kecerdasan Buatan sebagai Upaya Menurunkan Risiko Depresi bagi Remaja,Penelitian ini bertujuan untuk mengukur efektivitas penggunaan prototipe aplikasi SEJATI sebagai,21 June 2022
Chatgpt vs Akuntan Tantangan dan Peluang Kecerdasan Buatan Dalam Akuntansi,"Perkembangan teknologi kecerdasan buatan (AI), khususnya ChatGPT, telah membawa dampak signifikan di berbagai bidang, termasuk akuntansi. Penelitian ini bertujuan untuk membandingkan kemampuan … Expand",16 May 2025
Implementasi Etika Penggunaan Kecerdasan Buatan (AI) dalam Sistem Pendidikan dan Analisis Pembelajaran di Indonesia,"Penggunaan Kecerdasan Buatan (Artificial Intelligence/AI) dalam pendidikan merupakan bidang yang kompleks dan terus berkembang pesat. Perkembangan ini membawa potensi besar untuk mentransformasi proses belajar-mengajar, namun juga menimbulkan berbagai tantangan etis dan praktis yang perlu diatasi. Implementasi AI dalam pendidikan membutuhkan pertimbangan yang cermat dan menyeluruh terhadap berbagai aspek kritis, termasuk privasi data peserta didik, keadilan dan inklusivitas dalam akses serta penggunaan teknologi, transparansi algoritma dan pengambilan keputusan, tingkat dan bentuk kontrol manusia yang tepat, aksesibilitas bagi semua kelompok peserta didik termasuk mereka dengan kebutuhan khusus, serta potensi dampak jangka panjang terhadap perkembangan kognitif, sosial, dan emosional peserta didik. Mengingat kompleksitas isu-isu tersebut, pendekatan etis terhadap integrasi AI dalam pendidikan harus melibatkan dialog berkelanjutan dan kolaborasi erat antara berbagai pemangku kepentingan. Hal ini mencakup pendidik di berbagai tingkatan, pengembang teknologi AI, pembuat kebijakan pendidikan, siswa sebagai pengguna utama, serta masyarakat luas yang memiliki kepentingan dalam sistem pendidikan. Tujuan utama dari dialog dan kolaborasi ini adalah untuk memastikan bahwa teknologi AI diimplementasikan dan digunakan dengan cara yang tidak hanya bermanfaat dari segi edukasi, tetapi juga adil, etis, dan menghormati hak-hak serta kepentingan semua pihak yang terlibat. Penelitian ini mengadopsi pendekatan kualitatif untuk mengeksplorasi secara mendalam berbagai aspek penggunaan AI dalam pendidikan. Tujuan utama dari penelitian ini adalah untuk mengidentifikasi dan menganalisis manfaat potensial dari integrasi kecerdasan buatan dalam bidang pendidikan. Collapse",24 August 2024
Analisis Pengaruh Pembelajaran Adaptif Berbasis Kecerdasan Buatan terhadap Pencapaian Akademik Siswa Sekolah Menengah Atas di Era Digital,"Penelitian ini menyelidiki dampak dari pembelajaran adaptif berbasis Kecerdasan Buatan (AI) terhadap prestasi akademik siswa sekolah menengah di era digital. Sampel sebanyak 110 siswa disurvei, mengeksplorasi frekuensi penggunaan perangkat pembelajaran adaptif berbasis AI dan korelasinya dengan prestasi akademik yang dilaporkan sendiri. Statistik deskriptif menunjukkan profil demografis yang beragam, sementara analisis korelasi dan regresi menemukan hubungan positif yang kuat antara frekuensi penggunaan alat pembelajaran dengan prestasi akademik. Analisis subkelompok lebih lanjut menyoroti variasi berdasarkan jenis kelamin, status sosial-ekonomi, dan kemampuan akademik. Temuan ini menunjukkan bahwa peningkatan penggunaan alat bantu secara positif mempengaruhi hasil akademik, dengan implikasi untuk kebijakan dan praktik pendidikan. Penelitian ini memberikan kontribusi wawasan yang berharga untuk lanskap AI yang berkembang dalam pendidikan sekolah menengah. Collapse",29 January 2024
PENGARUH KECERDASAN BUATAN DALAM PROSES AUDIT KEUANGAN: TANTANGAN DAN PELUANG DI ERA DIGITAL,"Kemajuan Kecerdasan Buatan (AI) secara signifikan memengaruhi lanskap audit keuangan dalam era digital. Penelitian ini mengeksplorasi tantangan dan peluang yang muncul dari integrasi AI dalam proses audit keuangan. Isu-isu utama yang dibahas meliputi adaptasi metodologi audit tradisional ke AI, keandalan analisis yang dipandu AI, dan implikasi etika otomasi dalam pengambilan keputusan. Penelitian bertujuan untuk memahami bagaimana AI memengaruhi efisiensi dan akurasi audit. Dengan pendekatan metode campuran, menggabungkan analisis data kuantitatif dan studi kasus kualitatif, penelitian menyelidiki pengalaman auditor dan organisasi dalam mengimplementasikan alat AI. Temuan menyoroti peran berubah auditor dalam memanfaatkan AI, menekankan perlunya pengembangan profesional berkelanjutan. Penelitian ini memberikan wawasan berharga dalam diskursus yang sedang berlangsung tentang efek transformatif AI dalam audit keuangan. Collapse",9 January 2024
